"naibu_cd_name","naibu_cd","name","hyouji_jun","option1","option2","option3"
"kinou_seigyo_cd","DK","代行","0","","",""
"kinou_seigyo_cd","KD","管理者による代行者指定","0","","",""
"kinou_seigyo_cd","GD","ガイダンス起票","0","","",""
"kinou_seigyo_cd","OK","お気に入り起票","0","","",""
"kinou_seigyo_cd","ML","メール配信","0","","",""
"kinou_seigyo_cd","CS","振込明細ダウンロード","0","","",""
"kinou_seigyo_cd","BR","バッチ連携結果確認","0","","",""
"kinou_seigyo_cd","KK","会計データ連携","0","","",""
"kinou_seigyo_cd","FB","FBデータ作成","0","","",""
"kinou_seigyo_cd","DS","伝票作成","0","","",""
"kinou_seigyo_cd","WK","ワークフロー：起票","0","","",""
"kinou_seigyo_cd","WS","ワークフロー：申請","0","","",""
"kinou_seigyo_cd","WG","ワークフロー：取下げ","0","","",""
"kinou_seigyo_cd","WT","ワークフロー：取戻し","0","","",""
"kinou_seigyo_cd","WM","ワークフロー：差戻し","0","","",""
"kinou_seigyo_cd","WO","ワークフロー：承認","0","","",""
"kinou_seigyo_cd","WN","ワークフロー：否認","0","","",""
"kinou_seigyo_cd","RH","承認ルート変更","0","","",""
"kinou_seigyo_cd","ST","上長承認後の取戻し","0","","",""
"kinou_seigyo_cd","SS","上位先決承認","0","","",""
"kinou_seigyo_cd","TP","ファイル添付","0","","",""
"kinou_seigyo_cd","RC","領収書・請求書等チェック必須","0","","",""
"kinou_seigyo_cd","DL","データダウンロード","0","","",""
"kinou_seigyo_kbn","0","無効","0","","",""
"kinou_seigyo_kbn","1","有効","0","","",""
"gyoumu_role_kinou_seigyo_cd","WF","ワークフロー","0","","",""
"gyoumu_role_kinou_seigyo_cd","CO","会社設定","0","","",""
"gyoumu_role_kinou_seigyo_cd","KR","経理処理","0","","",""
"gyoumu_role_kinou_seigyo_kbn","0","無効","1","","",""
"gyoumu_role_kinou_seigyo_kbn","1","有効","2","","",""
"tsukin_kbn","1","運賃","1","","",""
"tsukin_kbn","2","通常","2","","",""
"tsukin_kbn","3","業務用","3","","",""
"tsukin_kbn","4","その他","4","","",""
"shiyou_kikan_kbn","01","1ヶ月","1","","",""
"shiyou_kikan_kbn","03","3ヶ月","2","","",""
"shiyou_kikan_kbn","06","6ヶ月","3","","",""
"shiwake_kbn","1","借方","1","","",""
"shiwake_kbn","2","貸方","2","","",""
"kazei_kbn","","未設定","1","","",""
"kazei_kbn","000","対象外","2","9","",""
"kazei_kbn","001","税込","3","1","",""
"kazei_kbn","003","免税","4","9","",""
"kazei_kbn","004","非課税","5","9","",""
"kazei_kbn_group","1","税込","0","","",""
"kazei_kbn_group","2","税抜","0","","",""
"kazei_kbn_group","9","その他","0","","",""
"hasuu_keisan_kbn","1","切下","1","","",""
"hasuu_keisan_kbn","2","切上","2","","",""
"hasuu_keisan_kbn","3","四捨五入","3","","",""
"hasuu_keisan_kbn","4","千円未満切り捨て","4","","",""
"sort_kbn","1","昇順","1","","",""
"sort_kbn","2","降順","2","","",""
"denpyou_kbn","A001","経費立替精算","1","","",""
"denpyou_kbn","A002","仮払申請","2","","",""
"denpyou_kbn","A003","請求書払い申請","7","","",""
"denpyou_kbn","A004","出張旅費精算（仮払精算）","3","","",""
"denpyou_kbn","A005","旅費仮払申請","4","","",""
"denpyou_kbn","A006","通勤定期申請","6","","",""
"denpyou_kbn","A007","振替伝票","9","","",""
"denpyou_kbn","A008","総合付替伝票","10","","",""
"denpyou_kbn","A009","自動引落伝票","8","","",""
"denpyou_kbn","A010","交通費精算","5","","",""
"denpyou_jyoutai","00","未起票","0","","",""
"denpyou_jyoutai","10","起票中","0","","",""
"denpyou_jyoutai","20","申請中","0","","",""
"denpyou_jyoutai","30","承認済","0","","",""
"denpyou_jyoutai","40","否認済","0","","",""
"denpyou_jyoutai","90","取下済","0","","",""
"joukyou","1","申請","0","","",""
"joukyou","2","取戻し","0","","",""
"joukyou","3","取下げ","0","","",""
"joukyou","4","承認","0","","",""
"joukyou","5","否認","0","","",""
"joukyou","6","差戻し","0","","",""
"info_status","9","全て","0","","",""
"info_status","1","掲載中","0","","",""
"info_status","2","未掲載","0","","",""
"info_status","3","掲載終了","0","","",""
"kanren_denpyou","000","要処理伝票全て","4","","",""
"kanren_denpyou","010","起票中","1","","",""
"kanren_denpyou","020","承認待ち","3","","",""
"kanren_denpyou","021","下位未承認伝票のみ","5","","",""
"kanren_denpyou","100","起票伝票全て","6","","",""
"kanren_denpyou","120","申請中","2","","",""
"tsukekae_kbn","1","借方固定","1","","",""
"tsukekae_kbn","2","貸方固定","2","","",""
"shouhyou_shorui","","","1","","",""
"shouhyou_shorui","1","あり","2","","",""
"shouhyou_shorui","0","なし","3","","",""
"ninshou_houhou","NO","認証しない","1","","",""
"ninshou_houhou","CR","CRAM-MD5","2","","",""
"ninshou_houhou","LI","LOGIN","3","","",""
"ninshou_houhou","PN","PLAIN","4","","",""
"shiwake_pattern_denpyou_kbn","A001","経費立替精算","1","1","",""
"shiwake_pattern_denpyou_kbn","A002","仮払申請","2","1","",""
"shiwake_pattern_denpyou_kbn","A003","請求書払い申請","7","1","",""
"shiwake_pattern_denpyou_kbn","A009","自動引落伝票","8","1","",""
"shiwake_pattern_denpyou_kbn","A004","出張旅費精算（仮払精算）","3","1","",""
"shiwake_pattern_denpyou_kbn","A005","旅費仮払申請","4","1","",""
"shiwake_pattern_denpyou_kbn","A006","通勤定期申請","6","1","",""
"shiwake_pattern_denpyou_kbn","A010","交通費精算","5","1","",""
"shiwake_pattern_setting_kbn","1","取引（仕訳）内容","1","","",""
"shiwake_pattern_setting_kbn","2","借方","2","","",""
"shiwake_pattern_setting_kbn","3","貸方1","3","","",""
"shiwake_pattern_setting_kbn","4","貸方2","4","","",""
"shiwake_pattern_setting_kbn","5","貸方3","5","","",""
"shiwake_pattern_setting_item","DEFAULT_HYOUJI","デフォルト表示","0","","",""
"shiwake_pattern_setting_item","KOUSAIHI","交際費","0","","",""
"shiwake_pattern_setting_item","KAKE","掛け","0","","",""
"shiwake_pattern_setting_item","SHAIN","社員コード連携","0","","",""
