"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"appl_url","アプリURL","http://localhost/eteam/main/appl/","メール配信(2)","1","2","1","","アプリのURL
駅すぱあと連携やメールに記載するURLに使用する。"
"mail_tsuuchi_system_name","メール通知システム名","OPEN21 Workflow","メール配信(2)","2","1","1","","システム名。メール通知等の文言に使用される。"
"password_len_min","パスワードの最小文字数","8","アカウントセキュリティ","3","1","1","([1-9]|[12]\d|3[0-2])","有効なパスワードの最小の長さ。
1～32"
"password_kind_min","パスワードの最小文字種類","3","アカウントセキュリティ","4","1","1","[1-4]","パスワードに何種類の文字が含まれるべきかを表す数。
1～4（大文字・小文字・数字・記号）"
"password_valid_term","パスワードの有効期間(日数)","0","アカウントセキュリティ","5","1","1","(0|[1-9]\d{0,2})","パスワードの有効期間（日数）
0～999 （0の場合無期限）"
"password_lock_num","アカウント一時ロックするパスワード誤り回数","0","アカウントセキュリティ","6","1","1","(0|[1-9]\d{0,2})","誤ったパスワードを入力した際にアカウントがロックされるまでの回数。
0～999 （0の場合ロックしない）"
"password_lock_term","アカウント一時ロック時間(分)","30","アカウントセキュリティ","7","1","1","(0|[1-9]\d{0,5})","アカウントがロックされている時間（分）
0～999999 （0の場合無期限）"
"require_password_change","初期パスワードの変更を必須とする","0","アカウントセキュリティ","8","1","1","(0|1)","初期パスワードの変更をユーザーに強制するかどうか。
0：パスワード変更を必須としない。
1：パスワード変更を必須とする。"
"intra_flg","連携フラグ","9","駅すぱあと連携","9","1","1","(0|1|9)","駅すぱあとの連携方法。
0:WebService版、1:イントラ版、9:連携しない。"
"intra_action","イントラ版起動URL","http://localhost/expwww2/expcgi.exe","駅すぱあと連携","10","1","0","","駅すぱあとイントラ版の起動URL。
以下のような、イントラ版のインストール先ホストのURL。
http://localhost/expwww2/expcgi.exe"
"ekispert_web_url_station","Webサービス駅名検索URL","http://api.ekispert.jp/v1/xml/station/light?","駅すぱあと連携","11","0","0","","駅すぱあとWebService版で駅名を取得する際のURL。"
"ekispert_web_url_route","Webサービス経路検索URL","http://api.ekispert.jp/v1/xml/search/course/extreme?","駅すぱあと連携","12","0","0","","駅すぱあとWebService版で経路を取得する際のURL。"
"ekispert_web_url_map_list","Webサービス路線図一覧検索URL","http://api.ekispert.jp/v1/xml/railmap/list?","駅すぱあと連携","13","0","0","","駅すぱあとWebService版で路線図一覧を取得する際のURL。"
"ekispert_web_url_map_station","Webサービス路線図駅名検索URL","http://api.ekispert.jp/v1/xml/railmap/detail?","駅すぱあと連携","14","0","0","","駅すぱあとWebService版で路線図内の駅名を取得する際のURL。"
"ekispert_web_url_map_image","Webサービス路線図取得URL","http://api.ekispert.jp/v1/xml/railmap/data?","駅すぱあと連携","15","0","0","","駅すぱあとWebService版で路線図を取得する際のURL。"
"ekispert_web_search","Webサービス探索条件生成URL","http://api.ekispert.jp/v1/xml/toolbox/course/condition?","駅すぱあと連携","16","0","0","","駅すぱあとWebService版で探索条件を生成する際のURL。"
"ekispert_ic_kbn","IC使用区分","ic","駅すぱあと連携","17","1","0","(ic|normal)","ICカードを使用する:ic
ICカードを使用しない:normal"
"ekispert_web_ic_preferred","Webサービス探索優先度","preferredTicketOrder=cheap","駅すぱあと連携","18","1","0","preferredTicketOrder=(ic|normal|cheap)","駅すぱあとWebService版のIC料金探索優先度（IC使用区分がICの場合のみ有効）
preferredTicketOrder=X
※Xは以下のいずれか。
ICカード乗車券を優先する:ic
普通乗車券を優先する:normal
安い乗車券を優先する:cheap"
"output_file_path_fbdata","FBデータ出力ファイルパス","c:\eteam\fbdata","FB 連携","19","2","1","","FBデータファイルパス"
"output_file_nm_fbdata","FBデータ出力ファイル名","FBDATA_{0}_{1}.txt","FB 連携","20","2","1","","FBデータファイルパス名
ファイル作成時、{0}を振込日（yyyymmdd）、{1}を振込元金融機関コード+支店コードで置換します。"
"list_num_for_shiharaibi","支払日リスト件数","5","FB 連携","21","1","1","[1-9]\d{0,1}","FBデータ再作成の個人精算支払日リストに表示する項目件数（1～99）。"
"op21mparam_kaisha_cd","会社コード","0001","OPEN21 連携","22","1","1","(?!0000)\d{4}","取り込み会社番号
0001～9999"
"shokuchi_cd","諸口コード","099999","OPEN21 連携","23","1","1","\d{1,6}","振替伝票の仕訳で借方貸方課税区分グループが共に「税込」の場合に使用する所謂「諸口」を表す勘定科目コード。
（6桁以内の半角数字）
OPEN21に同様の勘定科目コードが登録されていなければならない。"
"op21mparam_shori_kbn","処理区分","0","OPEN21 連携","24","0","0","(0|1)","0：データチェック＆ 取り込み
1：データチェックのみ"
"op21mparam_denpyou_keishiki","伝票形式","0","OPEN21 連携","25","0","0","(0|1|2)","0：単一形式
1：複合（手入力諸口）
2：複合（自動諸口）"
"op21mparam_furyou_data_log","不良データログ","11","OPEN21 連携","26","0","0","(0|1|11)","0：ログ不要（不良伝票が発生しても正常伝票は取込む）
1：ログ要（不良伝票が発生しても正常伝票は取込む）
11：ログ要（不良伝票発生時は全件取り込まない）"
"op21mparam_csv_path","CSV用ﾊﾟｽ","C:\eteam\tmp","OPEN21 連携","27","0","0","","一時作業用ファイルパス"
"op21mparam_csv_file_nm","CSVファイル名","ShiwakeDataTemp.csv","OPEN21 連携","28","0","0","","一時作業用ファイル名
拡張子*.CSV 固定"
"op21mparam_log_path","ログ用パス","C:\eteam\bat\logs","OPEN21 連携","29","0","0","","ログファイルパス"
"op21mparam_log_file_nm","ログファイル名","ShiwakeDataImport.log","OPEN21 連携","30","0","0","","ログファイル名
拡張子*.LOG 固定"
"op21mparam_layout_no","レイアウトNo","0","OPEN21 連携","31","0","0","","op21mparam_layout_no
現在0固定"
"op21mparam_denpyou_nyuuryoku_pattern","伝票入力パターン","0","OPEN21 連携","32","0","0","\d{0,2}","登録済み伝票入力パターン（0～99）
省略可能（0 を指定）"
"op21mparam_houka_kanzan_flg","邦貨換算フラグ","0","OPEN21 連携","33","0","0","(0|1)","0:外貨金額から邦貨金額の換算を行わない
1:外貨金額から邦貨金額の換算を行う
省略可能（0 を指定）"
"op21mparam_kidou_user","起動ユーザー","0001","OPEN21 連携","34","1","0","\d{4,4}","0001～9999 のOPEN21ユーザーを指定します。
削除及び未登録ユーザー、使用できないユーザーを除きます。
その他の場合は“0000”を指定します。"
