"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"appl_url","アプリURL","http://localhost/eteam/main/appl/","メール配信(2)","1","2","1","","アプリのURL
駅すぱあと連携やメールに記載するURLに使用する。"
"mail_tsuuchi_system_name","メール通知システム名","OPEN21 Workflow","メール配信(2)","2","1","1","","システム名。メール通知等の文言に使用される。"
"password_len_min","パスワードの最小文字数","8","アカウントセキュリティ","3","1","1","([1-9]|[12]\d|3[0-2])","有効なパスワードの最小の長さ。
1～32"
"password_kind_min","パスワードの最小文字種類","3","アカウントセキュリティ","4","1","1","[1-4]","パスワードに何種類の文字が含まれるべきかを表す数。
1～4（大文字・小文字・数字・記号）"
"password_valid_term","パスワードの有効期間(日数)","0","アカウントセキュリティ","5","1","1","(0|[1-9]\d{0,2})","パスワードの有効期間（日数）
0～999 （0の場合無期限）"
"password_lock_num","アカウント一時ロックするパスワード誤り回数","0","アカウントセキュリティ","6","1","1","(0|[1-9]\d{0,2})","誤ったパスワードを入力した際にアカウントがロックされるまでの回数。
0～999 （0の場合ロックしない）"
"password_lock_term","アカウント一時ロック時間(分)","30","アカウントセキュリティ","7","1","1","(0|[1-9]\d{0,5})","アカウントがロックされている時間（分）
0～999999 （0の場合無期限）"
"require_password_change","初期パスワードの変更を必須とする","0","アカウントセキュリティ","8","1","1","(0|1)","初期パスワードの変更をユーザーに強制するかどうか。
0：パスワード変更を必須としない。
1：パスワード変更を必須とする。"
"intra_flg","連携フラグ","9","駅すぱあと連携","9","1","1","(0|1|9)","駅すぱあとの連携方法。
0：WebService版、1：イントラ版、9：連携しない。"
"intra_action","イントラ版起動URL","http://localhost/expwww2/expcgi.exe","駅すぱあと連携","10","1","0","","駅すぱあとイントラ版の起動URL。
以下のような、イントラ版のインストール先ホストのURL。
http：//localhost/expwww2/expcgi.exe"
"ekispert_web_url_station","Webサービス駅名検索URL","http://api.ekispert.jp/v1/xml/station/light?","駅すぱあと連携","11","0","0","","駅すぱあとWebService版で駅名を取得する際のURL。"
"ekispert_web_url_route","Webサービス経路検索URL","http://api.ekispert.jp/v1/xml/search/course/extreme?","駅すぱあと連携","12","0","0","","駅すぱあとWebService版で経路を取得する際のURL。"
"ekispert_web_url_map_list","Webサービス路線図一覧検索URL","http://api.ekispert.jp/v1/xml/railmap/list?","駅すぱあと連携","13","0","0","","駅すぱあとWebService版で路線図一覧を取得する際のURL。"
"ekispert_web_url_map_station","Webサービス路線図駅名検索URL","http://api.ekispert.jp/v1/xml/railmap/detail?","駅すぱあと連携","14","0","0","","駅すぱあとWebService版で路線図内の駅名を取得する際のURL。"
"ekispert_web_url_map_image","Webサービス路線図取得URL","http://api.ekispert.jp/v1/xml/railmap/data?","駅すぱあと連携","15","0","0","","駅すぱあとWebService版で路線図を取得する際のURL。"
"ekispert_web_search","Webサービス探索条件生成URL","http://api.ekispert.jp/v1/xml/toolbox/course/condition?","駅すぱあと連携","16","0","0","","駅すぱあとWebService版で探索条件を生成する際のURL。"
"ekispert_ic_kbn","IC使用区分","ic","駅すぱあと連携","17","1","1","(ic|normal)","ICカードを使用する：ic
ICカードを使用しない：normal"
"ekispert_ic_zenshashitei","IC乗車券区分の全社指定","1","駅すぱあと連携","18","1","1","(1|2)","経路検索条件において、ICカード乗車券の利用種別を全社で統一するか個別に設定するかを指定。
1：全社設定
2：個別設定"
"ekispert_web_ic_preferred","Webサービス探索優先度","preferredTicketOrder=cheap","駅すぱあと連携","19","1","1","preferredTicketOrder=(ic|normal|cheap)","駅すぱあとWebService版のIC料金探索優先度（IC使用区分がICの場合のみ有効）
preferredTicketOrder=X
※Xは以下のいずれか。
ICカード乗車券を優先する：ic
普通乗車券を優先する：normal
安い乗車券を優先する：cheap"
"ekispert_teikikukan_haneisaki","定期区間の反映先","1","駅すぱあと連携","20","1","1","(1|2)","定期券区間情報の反映先。
1：内容
2：備考"
"ekispert_keiro_kanihyouji","経路表示方法","0","駅すぱあと連携","21","1","1","(0|1)","経路の検索結果を詳細表示するか簡易表示するか。
0：詳細表示（「行き先」や「ICカード乗車券」等の情報を表示する）
1：簡易表示（「行き先」や「ICカード乗車券」等の情報を非表示とする）"
"ekispert_kyori_hanei","距離情報の反映先","0","駅すぱあと連携","22","1","1","(0|1|2)","経路の距離情報反映先。
0：反映しない
1：内容
2：備考"
"ekispert_waribiki_hanei","割引情報の反映先(EX予約/スマートEX/新幹線eチケット)","0","駅すぱあと連携","23","1","1","(0|1|2)","経路の割引情報（EX予約/スマートEX、新幹線eチケット）の反映先。
0：反映しない
1：内容
2：備考"
"ekispert_oufukuwari_hanei","往復割引運賃適用の反映先","0","駅すぱあと連携","24","1","1","(0|1|2)","往復割引運賃適用の反映先。
0：反映しない
1：内容
2：備考"
"houjin_card_date_enabled","法人カード利用明細の日付変更","0","法人カード","25","1","1","(0|1)","法人カード履歴から登録した交通費・宿泊費・その他経費明細の日付を変更できるかどうか。
オプション機能(法人カード)を有効にしていない場合は影響しません。
0：変更できない
1：変更できる"
"houjin_card_rireki_jyogai_enable","法人カード履歴の除外","0","法人カード","26","1","1","(0|1)","ワークフローにインポートした法人カード履歴データを除外できるようにするか、しないか。
0：除外できない
1：除外できる"
"houjin_card_rireki_jyogai_user","法人カード履歴を除外するユーザー","1","法人カード","27","1","1","(1|2)","法人カード履歴を除外する場合、どのユーザーが除外するのか。
1：申請者
2：経理処理"
"ic_card_train","ICカードデフォルト交通手段","","ICカード","28","1","0","","ICカード履歴から交通費明細を登録する際に、
デフォルトで選択する交通手段。
オプション機能(ICカード)を有効にしていない場合は影響しません。
オプション機能(ICカード)を有効にしている場合でも、デフォルトの交通手段を設定しない場合は、空のままにしてください。"
"ic_card_bus","ICカード「バス/路面等」交通手段","","ICカード","29","1","0","","ICカード履歴から交通費明細を登録する際に、
履歴データが「バス/路面等」の場合に選択する交通手段。
オプション機能(ICカード)を有効にしていない場合は影響しません。
オプション機能(ICカード)を有効にしている場合でも、「バス/路面等」の交通手段を設定しない場合は、空のままにしてください。"
"ic_card_date_enabled","ICカード明細の日付変更","0","ICカード","30","1","1","(0|1)","ICカード履歴から登録した交通費明細の日付を変更できるかどうか。
オプション機能(ICカード)を有効にしていない場合は影響しません。
0：変更できない
1：変更できる"
